Cartridge,Bullet_Weight,Bullet_Type,C_O_L,Powder,Start_Charge,Start_Velocity,Max_Charge,Max_Velocity
"221 Rem Fireball (10.75"" BBL)",50,V-Max,"1.830""",RL-7,16.5,2300,18.8,2700
"222 Remington (10"" BBL)",50,V-Max,"2.130""",H322,20.6,2350,22.7,2600
"223 Remington (14"" BBL)",55,V-Max,"2.230""",H322,19.1,2400,22.5,3700
"22 BR Rem (14.5"" BBL)",55,V-Max,"2.045""",H322,24.4,2700,28.1,3050
"243 Win (15"" BBL)",75,V-Max,"2.625""",H4895,30.9,2600,36.8,3000
"25 Auto (2 3/8"" BBL)",35,XTP,".860""",Bullseye,1.2,750,1.5,950
"270 Win (15"" BBL)",130,SST,"3.220""",IMR 4064,41.7,2300,47.3,2600
"7mm BR Rem (15"" BBL)",120,V-Max,"2.300""",Varget,26.3,1800,31.1,2200
"7-30 Waters (14"" BBL)",120,FTX,"2.540""",Varget,32.6,2200,35.5,2400
"7mm IHMSA (15"" BBL)",120,V-Max,"2.555""",H322,33.0,2300,36.8,2600
"7mm-08 Rem (15"" BBL)",139,SST,"2.775""",Varget,33.5,2100,41.5,2500
"7.62x25 Tokarev (4.75"" BBL)",90,XTP,"1.320""",H110,10.3,1200,14.2,1700
"30 M1 Carbine (10"" BBL)",110,FMJ-RN,"1.680""",H110,8.7,1300,11.9,1500
"30-30 Win (10"" BBL)",150,InterLock,"2.715""",RL-7,24.6,1650,28.6,1850
"32 Auto (3.6"" BBL)",60,XTP,".925""",Bullseye,1.9,800,2.3,950
"32 S&W Long (3"" BBL)",85,XTP,"1.160""",Bullseye,1.6,550,2.1,700
"32 H&R Mag (6.5"" BBL)",100,XTP,"1.315""",Power Pistol,3.1,800,4.2,1050
"327 Fed Mag (4.2"" BBL)",100,XTP,"1.450""",Accurate #5,6.7,1200,7.9,1350
"32-20 Win (10"" BBL)",100,XTP,"1.550""",H110,11.0,1400,13.1,1700
"380 Auto (3.88"" BBL)",100,FMJ-RN,".980""",Power Pistol,3.0,700,4.4,950
"9mm Luger (4"" BBL)",124,XTP,"1.060""",Power Pistol,4.3,900,5.7,1100
"357 Sig (3.84"" BBL)",124,XTP,"1.140""",Power Pistol,6.9,1100,8.7,1300
"38 Auto (6"" BBL)",125,XTP,"1.060""",Bullseye,4.1,1000,4.7,1100
"38 Super Auto (5"" BBL)",124,XTP,"1.210""",Power Pistol,5.5,1000,7.1,1250
"38 Special (4"" BBL)",140,XTP,"1.450""",Power Pistol,5.2,750,6.7,1000
"357 Mag (8"" BBL)",158,XTP,"1.590""",H110,12.7,1000,15.6,1250
"357 Rem Maximum (10.5"" BBL)",180,XTP,"1.890""",H110,16.6,1250,18.5,1450
"357 Rem Max (T/C) (10"" BBL)",200,InterLock,"2.250""",Lil' Gun,17.0,1400,21.5,1650
"35 Rem (15"" BBL)",200,InterLock,"2.540""",H4198,27.0,1700,28.9,1800
"9x18 Makarov (3.7"" BBL)",95,XTP,".964""",Bullseye,3.00,800,3.6,975
"38-40 Win (6.5"" BBL)",180,XTP,"1.590""",Accurate #9,11.1,900,14.3,1100
"40 S&W (4.5"" BBL)",180,XTP,"1.125""",Power Pistol,5.1,850,7.1,1050
"10mm Auto (5"" BBL)",200,XTP,"1.260""",Accurate #9,9.7,850,13.2,1150
"41 AE (16"" BBL)",210,XTP,"1.150""",Accurate #5,5.4,800,7,1150
"41 Rem Mag (6"" BBL)",210,XTP,"1.580""",H110,19.5,1100,22.7,1400
"44-40 Win (4.75"" BBL)",200,"XTP .430""","1.600""",Accurate #9,14.1,900,16.9,1150
"44 Special (3"" BBL)",200,XTP,"1.470""",Accurate #5,7.2,650,9.5,900
"44 Rem Mag (7.5"" BBL)",240,XTP,"1.600""",H110,20.7,1100,24.8,1400
"44 Rem Mag (T/C) (14"" BBL)",300,XTP,"1.600""",H110,17.5,1150,19.8,1400
"44 Auto Mag (6.5"" BBL)",240,XTP,"1.600""",H110,19.7,1200,23.5,1450
"445 Super Mag (8"" BBL)",240,XTP,"1.925""",H110,29.6,1200,32.8,1500
"444 Marlin (T/C) (15"" BBL)",300,XTP,"2.535""",H4198,26.4,1400,41.5,1900
"45 Auto (5"" BBL)",230,XTP,"1.230""",SW Auto Pistol,6.3,700,7.9,850
"45 Auto Rim (5.5"" BBL)",185,XTP,"1.220""",Bullseye,4.6,700,6.4,950
"45 S&W Schofield (7.5"" BBL)",255,FP Cowboy,"1.380""",Unique,4.6,550,5.5,700
"45 Colt (Revolver) (7.5"" BBL)",250,XTP,"1.595""",Accurate #5,7.7,600,10.4,850
"45 Colt (Ruger & T/C) (10"" BBL)",300,XTP,"1.580""",Lil' Gun,15.0,1050,17.7,1200
"45 Win Mag (5"" BBL)",250,XTP,"1.480""",H110,22.0,1150,24.8,1400
"454 Casull (7.5"" BBL)",300,XTP Mag,"1.745""",H110,28.2,1400,31.4,1600
"460 S&W Mag (8 3/8"" BBL)",300,XTP Mag,"2.165""", Enforcer,25.1,1400,37.5,1500
"45-70 (T/C) (16"" BBL)",300,HP,"2.540""",IMR 4198,33.5,1400,39.4,1600
"480 Ruger (9.5"" BBL)",325,XTP,"1.620""",H110,19.8,1100,27.3,1500
"475 Linebaugh (7.5"" BBL)",325,XTP,"1.740""",Lil' Gun,26.0,1300,31.6,1550
"50 AE (6"" BBL)",300,XTP (50 AE),"1.580""",Lil' Gun,24.3,1200,31.7,1450
500 S&W Mag,350,XTP Mag,"2.000""",H110,36.5,1400,44.7,1650
