Cartridge,Type,FPS,Energy,Power,Recoil,Length,FPS Norm,Energy Norm,Power Norm,Recoil Norm,Length Norm,Score,Ranking
.470 Nitro Express,rifle,2134,5055,10.67,4.84,3.25,0.4196248196,1,1,1,1,0.8839249639,1
.338 Lapua Magnum,rifle,2927,4831,7.43,3.33,2.774,0.6484848485,0.9552268639,0.6887608069,0.6794055202,0.8317426653,0.7479079567,2
.340 Weatherby Magnum,rifle,3033,4615,6.85,3.3,2.825,0.6790764791,0.9120527683,0.6330451489,0.6730360934,0.8497702368,0.7451674394,3
.30-378 Weatherby,rifle,3382,4520,6.02,2.55,2.908,0.7797979798,0.8930641615,0.553314121,0.5138004246,0.8791092259,0.7204460042,4
.330 Dakota,rifle,2925,4369,6.73,3.11,2.74,0.6479076479,0.8628822706,0.6215177714,0.6326963907,0.8197242842,0.7131888053,5
.300 Weatherby Magnum,rifle,3229,4074,5.68,2.63,2.811,0.7356421356,0.8039176494,0.5206532181,0.5307855626,0.8448214917,0.6917610129,6
8mm Remington Magnum,rifle,2900,3734,5.8,2.77,2.85,0.6406926407,0.7359584249,0.5321805956,0.5605095541,0.8586072817,0.679271033,7
.300 Remington Ultra Magnu,rifle,3066,3610,5.3,2.64,2.85,0.6886002886,0.711173296,0.4841498559,0.5329087049,0.8586072817,0.6722692264,8
.300 Dakota,rifle,3183,4206,5.95,2.6,2.55,0.7223665224,0.8303018189,0.5465898175,0.5244161359,0.752562743,0.6663648159,9
.338 Winchester Magnum,rifle,2819,3916,6.26,2.93,2.5,0.6173160173,0.772336598,0.5763688761,0.5944798301,0.7348886532,0.6562387482,10
7mm STW (Shooting Times We,rifle,3239,3494,4.86,2.31,2.85,0.7385281385,0.6879872077,0.441882805,0.4628450106,0.8586072817,0.6560802064,11
.300 H&H Magnum,rifle,2880,3314,5.18,2.34,2.85,0.6349206349,0.6520087947,0.4726224784,0.4692144374,0.8586072817,0.6379641721,12
7mm Remington Ultra Magnum,rifle,3121,3330,4.81,2.13,2.85,0.7044733045,0.6552068759,0.437079731,0.4246284501,0.8586072817,0.6357166052,13
.300 Winchester Magnum,rifle,3026,3517,5.23,2.39,2.62,0.6770562771,0.6925844493,0.4774255524,0.4798301486,0.7773064687,0.629433011,14
6.53mm (.257) Lazzeroni Sc,rifle,3750,3122,3.75,1.69,2.8,0.886002886,0.6136318209,0.3352545629,0.3312101911,0.8409331919,0.6239344491,15
.270 Winchester,rifle,3536,3775,4.81,1.82,2.54,0.8242424242,0.7441535079,0.437079731,0.3588110403,0.7490279251,0.6192369329,16
.35 Whelen,rifle,2638,3538,6.04,2.64,2.494,0.5650793651,0.6967819308,0.5552353506,0.5329087049,0.7327677625,0.6190368737,17
7mm Weatherby Magnum,rifle,3199,3476,4.89,2.2,2.549,0.726984127,0.6843893664,0.4447646494,0.4394904459,0.7522092612,0.6160858493,18
.270 Weatherby Magnum,rifle,3335,3333,4.5,2.05,2.549,0.7662337662,0.6558065161,0.4073006724,0.4076433121,0.7522092612,0.6074961121,19
7mm Remington Magnum,rifle,3024,3106,4.63,2.06,2.5,0.6764790765,0.6104337398,0.4197886647,0.4097664544,0.7348886532,0.5822156985,20
.300 Winchester Short Magn,rifle,3078,3576,5.23,2.36,2.1,0.6920634921,0.7043773736,0.4774255524,0.4734607219,0.593495935,0.5768782296,21
.257 Weatherby Magnum,rifle,3408,2836,3.75,1.76,2.549,0.7873015873,0.5564661203,0.3352545629,0.3460721868,0.7522092612,0.575575939,22
.30-06 Springfield,rifle,2815,2920,4.67,2.19,2.494,0.6161616162,0.5732560464,0.4236311239,0.4373673036,0.7327677625,0.5732747511,23
.264 Winchester Magnum,rifle,3170,2766,3.93,1.91,2.5,0.7186147186,0.5424745153,0.3525456292,0.3779193206,0.7348886532,0.5657986658,24
.300 Remington Short Actio,rifle,3034,3494,5.19,2.36,2.015,0.6793650794,0.6879872077,0.4735830932,0.4734607219,0.5634499823,0.5631093758,25
.280 Remington,rifle,2896,2793,4.34,1.95,2.54,0.6395382395,0.5478712772,0.3919308357,0.3864118896,0.7490279251,0.5627957509,26
7mm Winchester Short Magnu,rifle,3134,3314,4.76,2.06,2.1,0.7082251082,0.6520087947,0.4322766571,0.4097664544,0.593495935,0.5521777938,27
.270 Winchester Short Magn,rifle,3238,3166,4.4,2,2.1,0.7382395382,0.6224265441,0.3976945245,0.3970276008,0.593495935,0.5468504214,28
7x64mm Brenneke,rifle,2818,2662,4.26,1.85,2.51,0.617027417,0.5216869878,0.3842459174,0.3651804671,0.7384234712,0.5460332279,29
.240 Weatherby Magnum,rifle,3396,2432,3.23,1.46,2.5,0.7838383838,0.4757145713,0.2853025937,0.2823779193,0.7348886532,0.5381955987,30
.25-06 Remington,rifle,3123,2360,3.4,1.57,2.494,0.7050505051,0.4613232061,0.3016330451,0.3057324841,0.7327677625,0.5286508281,31
.284 Winchester,rifle,2880,2762,4.32,1.93,2.17,0.6349206349,0.541674995,0.3900096061,0.3821656051,0.6182396607,0.5206663669,32
6.5mm Remington Magnum,rifle,3118,2655,3.84,1.72,2.17,0.7036075036,0.5202878273,0.3439000961,0.3375796178,0.6182396607,0.5142021005,33
.325 Winchester Short Magn,rifle,2213,2174,4.43,2.78,2.1,0.4424242424,0.4241455127,0.4005763689,0.5626326964,0.593495935,0.5096928097,34
.356 Winchester,rifle,2460,2687,4.92,2.22,2.015,0.5137085137,0.5266839896,0.4476464938,0.4437367304,0.5634499823,0.5025262531,35
.303 British,rifle,2540,2406,4.27,1.98,2.222,0.5367965368,0.4705176894,0.3852065322,0.3927813163,0.636620714,0.5013735994,36
6.17mm (.243) Lazzeroni Sp,rifle,3618,2470,3.08,1.37,2.05,0.8479076479,0.483310014,0.2708933718,0.2632696391,0.5758218452,0.4971105001,37
8x57mm Mauser JS,rifle,2466,2511,4.59,1.81,2.24,0.5154401154,0.4915050969,0.4159462056,0.3566878981,0.6429833864,0.496697454,38
.308 Winchester (7.62mm NA,rifle,2681,2617,4.4,1.95,2.015,0.5774891775,0.5126923846,0.3976945245,0.3864118896,0.5634499823,0.4920592197,39
.45-70 Government,rifle,1680,2274,6.1,2.43,2.105,0.2886002886,0.4441335199,0.5609990394,0.4883227176,0.5952633439,0.4869429482,40
6mm Remington,rifle,3156,2145,3.06,1.4,2.233,0.7145743146,0.4183489906,0.2689721422,0.2696390658,0.6405090138,0.4846580539,41
7mm-08 Remington,rifle,2827,2448,3.9,1.8,2.035,0.6196248196,0.4789126524,0.3496637848,0.3545647558,0.5705196182,0.4840628713,42
7x57mm Mauser,rifle,2602,2255,3.9,1.68,2.235,0.5546897547,0.4403357985,0.3496637848,0.3290870488,0.6412159774,0.4820576539,43
.307 Winchester,rifle,2510,2518,4.52,1.93,2.015,0.5281385281,0.4929042574,0.409221902,0.3821656051,0.5634499823,0.4808778126,44
.260 Remington,rifle,2856,2282,3.6,1.73,2.035,0.627994228,0.4457325605,0.320845341,0.3397027601,0.5705196182,0.4743804783,45
6.5x55mm Swedish Mauser,rifle,2673,2078,3.5,1.72,2.165,0.5751803752,0.4049570258,0.3112391931,0.3375796178,0.6164722517,0.4715542365,46
.220 Swift,rifle,3845,1674,1.96,0.9,2.205,0.9134199134,0.3242054767,0.1633045149,0.1634819533,0.6306115235,0.469654153,47
.257 Roberts,rifle,2790,2039,3.29,1.47,2.233,0.6089466089,0.397161703,0.2910662824,0.2845010616,0.6405090138,0.468443404,48
6.5x57 Mauser,rifle,2543,1881,3.33,1.62,2.232,0.5376623377,0.3655806516,0.2949087416,0.3163481953,0.640155532,0.4594605524,49
.243 Winchester,rifle,3179,1952,2.77,1.25,2.045,0.7212121212,0.3797721367,0.2411143132,0.2377919321,0.5740544362,0.4500510988,50
.32 Winchester Special,rifle,2250,1911,3.83,1.95,2.04,0.4531024531,0.3715770538,0.3429394813,0.3864118896,0.5722870272,0.4475081988,51
.300 Savage,rifle,2518,2280,4.08,1.78,1.871,0.5304473304,0.4453328003,0.3669548511,0.3503184713,0.5125486037,0.4470101727,52
.25 Winchester Super Short,rifle,3155,2387,3.41,1.57,1.67,0.7142857143,0.466719968,0.3025936599,0.3057324841,0.4414987628,0.4438009385,53
7-30 Waters,rifle,2700,1942,3.24,1.46,2.04,0.582972583,0.377773336,0.2862632085,0.2823779193,0.5722870272,0.4395919195,54
.22-250 Remington,rifle,3787,1624,1.93,0.9,1.912,0.8966810967,0.3142114731,0.1604226705,0.1634819533,0.5270413574,0.4338036628,55
.30-30 Winchester,rifle,2373,1888,3.58,1.6,2.04,0.4886002886,0.3669798121,0.3189241114,0.3121019108,0.5722870272,0.4319682415,56
.224 Weatherby Magnum,rifle,3650,1627,2.01,0.9,1.92,0.8571428571,0.3148111133,0.1681075889,0.1634819533,0.5298692117,0.4279570729,57
.35 Remington,rifle,2120,1876,3.99,1.87,1.92,0.4155844156,0.3645812512,0.358309318,0.3694267516,0.5298692117,0.4246388574,58
.225 Winchester,rifle,3570,1556,1.96,0.9,1.927,0.8340548341,0.3006196282,0.1633045149,0.1634819533,0.5323435843,0.4219421705,59
.243 Winchester Super Shor,rifle,3198,2228,2.55,1.37,1.67,0.7266955267,0.4349390366,0.2199807877,0.2632696391,0.4414987628,0.4200971658,60
.223 Winchester Super Shor,rifle,3766,1826,2.18,0.95,1.67,0.8906204906,0.3545872477,0.1844380403,0.1740976645,0.4414987628,0.4172225739,61
.250 Savage,rifle,2820,1765,2.82,1.27,1.912,0.6176046176,0.3423945633,0.2459173871,0.2420382166,0.5270413574,0.4132699493,62
.204 Ruger,rifle,3935,1272,1.46,0.6,1.84,0.9393939394,0.2438536878,0.1152737752,0.09978768577,0.5015906681,0.4049793448,63
.222 Remington Magnum,rifle,3525,1241,1.59,0.79,1.85,0.8210678211,0.2376574056,0.1277617675,0.1401273885,0.505125486,0.3937130628,64
.17 Remington,rifle,4145,877,0.95,0.45,1.796,1,0.1649010594,0.06628242075,0.06794055202,0.4860374691,0.3892288478,65
6.8mm Remington SPC,rifle,2600,1696,2.94,1.41,1.686,0.5541125541,0.3286028383,0.2574447646,0.2717622081,0.4471544715,0.3843864028,66
.25-35 Winchester,rifle,2230,1292,2.61,1.18,2.043,0.4473304473,0.2478512892,0.2257444765,0.2229299363,0.5733474726,0.3758496157,67
.223 Remington (5.56x45mm,rifle,3148,1254,1.79,0.8,1.76,0.7122655123,0.2402558465,0.1469740634,0.1422505308,0.4733121244,0.3660810666,68
.222 Remington,rifle,3167,1091,1.55,0.74,1.7,0.7177489177,0.2076753948,0.1239193084,0.1295116773,0.4521032167,0.3509141036,69
.38-55 Winchester,rifle,1320,986,3.37,1.51,2.085,0.1847041847,0.1866879872,0.2987512008,0.2929936306,0.588193708,0.3501288358,70
7.62x39mm Russian,rifle,2363,1587,3.02,1.29,1.528,0.4857142857,0.3068159105,0.265129683,0.2462845011,0.3913043478,0.3465563303,71
.221 Remington Fireball,rifle,3097,958,1.39,0.67,1.4,0.6975468975,0.1810913452,0.1085494717,0.1146496815,0.346058678,0.3063809586,72
.44 Remington Magnum (Pist,handgun,1317,897,6.14,1.45,1.285,0.1838383838,0.1688986608,0.5648414986,0.2802547771,0.3054082715,0.3000699433,73
