Cartridge,Bullet_Weight,Bullet_Type,C_O_L,Powder,Start_Charge,Start_Velocity,Max_Charge,Max_Velocity
17 Hornet (24" BBL),20,V-Max,1.710",H110,7.9,3200,9.5,3600
17 Rem Fireball (26" BBL),25,V-Max,1.770",H322,15.0,3300,18.0,3700
17 Remington (24" BBL),25,V-Max,2.150",Varget,22.4,3600,24.5,3900
204 Ruger (26" BBL),32,V-Max,2.245",Varget,27.0,3700,29.3,4000
5.45x39 (16" BBL),60,V-Max,2.239",CFE 223,22.5,2400,25.5,2800
22 Hornet (22" BBL),35,V-Max,1.715",H110,9.9,2600,12.3,3100
22 K Hornet (24" BBL),35,V-Max,1.810",LIL' GUN,10.0,2600,13.5,3100
218 Bee (22" BBL),45,HP Bee,1.610",H110,9.1,2400,11.9,2800
221 Rem Fireball (24" BBL),50,V-Max,1.830",H4198,14.4,2600,16.6,2900
222 Rem (24" BBL),50,V-Max,2.130",H322,21.6,2800,23.9,3100
223 Rem (26" BBL),55,V-Max,2.250",CFE 223,24.8,2800,27.4,3200
5.56 NATO (20" BBL),75,BTHP,2.250",CFE 223,22.2,2500,26.5,2900
222 Rem Mag (24" BBL),55,V-Max,2.325",H4895,23.8,2900,26.2,3300
22 PPC (24" BBL),55,V-Max,2.060",H322,20.9,2900,23.4,3200
5.6x50 Mag (23 5/8" BBL),55,V-Max,2.400",IMR 4064,24.7,2900,26.8,3200
225 Win (24" BBL),55,V-Max,2.420",H4895,30.0,3200,33.4,3600
224 Wby Mag (26" BBL),55,V-Max,2.350",IMR 4064,28.8,3200,32.9,3700
224 Valkyrie (22" BBL),88,ELD-Match,2.250",CFE 223,22.3,2400,26.0,2750
22-250 Rem (26" BBL),55,V-Max,2.350",Varget,30.8,3200,34.6,3600
220 Swift (26" BBL),55,V-Max,2.680",Varget,31.9,3300,36.6,3700
5.6x57 RW (22" BBL),55,V-Max,2.715",IMR 4350,38.5,3400,41.3,3700
22 Savage High Power,70,SP w/c,2.510",IMR 4198,20.2,2700,23.1,3000
6mm PPC (19.5" BBL),75,V-Max,2.105",H322,21.5,2400,24.3,2700
6mm BR Rem (24" BBL),75,V-Max,2.160",Varget,26.4,2400,30.9,3100
6mm ARC Gas (18" BBL),108,ELD-Match,2.245",CFE 223,25.4,2200,29.1,2575
6mm ARC Bolt (24" BBL),108,ELD-Match,2.245",CFE 223,27.5,2500,30.6,2800
243 Win (24" BBL),95,SST,2.630",RL-17,26.7,2600,42.5,3000
6mm Remington (22" BBL),95,SST,2.810",RL-22,42.0,2500,47.2,2900
6mm Creedmoor (24" BBL),108,ELD-Match,2.790",H4350,35.4,2700,41.7,3050
240 Wby Mag (24" BBL),95,SST,3.075",RL-19,44.3,2900,48.6,3100
243 WSSM (26" BBL),95,SST,2.240",RL-22,37.1,2700,44.3,3100
25-20 Win (22" BBL),60,SP,1.590",H110,7.2,1800,9.3,2100
256 Win Mag (24" BBL),60,SP,1.560",Alliant 2400,12.7,2300,15.1,2800
25-35 Win (20" BBL),110,FTX,2.550",LEVERevoloution,20.4,2000,27.9,2500
250 Savage (26" BBL),75,V-Max,2.475",Varget,31.5,2800,36.7,3200
257 Roberts (22" BBL),117,SST,2.780",H4350,34.6,2500,42.8,2900
25 WSSM (22" BBL),117,SST,2.300",H4350,39.1,2600,45.9,2950
25-06 Rem (24" BBL),117,SST,3.135",H4831,49.3,2700,54.7,3000
257 Wby Mag (24" BBL),117,SST,3.215",RL-22,58.0,2800,64.5,3200
6.5x50 Jap (32" BBL),140,SST,2.800",H4895,29.8,2200,34.7,2600
6.5x54 Mannlicher (18" BBL),140,SST,2.950",H4831,38.4,2000,43.7,2400
6.5 Grendel (18" BBL),123,ELD-Match,2.245",CFE 223,26.2,2100,31.2,2500
6.5x55 Swede (29" BBL),140,ELD-Match,3.025",H4350,37.2,2300,40.8,2500
260 Rem (24" BBL),140,ELD-Match,2.785",H4350,35.1,2300,42.0,2650
6.5 Creedmoor (24" BBL),140,ELD-Match,2.810",H4350,35.6,2400,41.5,2700
6.5x57 (23 5/8" BBL),140,ELD-Match,3.030",IMR 4064,35.2,2300,39.7,2600
6.5x284 Norma (24" BBL),147,ELD-Match,3.000",RL-26,49.5,2600,54.5,2900
6.5x06 (24" BBL),143,ELD-X,3.265",RL-22,42.9,2500,51.4,2900
6.5 Rem Mag (24" BBL),143,ELD-X,3.040",H4831,47.4,2600,54.3,2900
6.5 PRC (26" BBL),147,ELD-Match,2.950",RL-26,47.6,2700,55.7,3050
264 Win Mag (24" BBL),143,ELD-X,3.210",H4831sc,52.6,2700,62.0,3050
6.8 Rem SPC (16" BBL),120,SST,2.240",IMR 8208xbr,24.1,2000,28.3,2400
270 Win (24" BBL),140,SST,3.210",H4831,53.0,2600,59.9,3000
270 WSM (24" BBL),140,SST,2.785",H4831,55.8,2800,63.3,3100
270 Wby Mag (26" BBL),150,SST,3.250",RL-22,59.7,2700,66.3,3000
7-30 Waters (24" BBL),120,FTX,2.540",LEVERevoloution,32.9,2400,38.0,2750
7mm-08 Rem (24" BBL),150,ELD-X,2.800",RL-17,39.6,2300,47.5,2800
7x57 Mauser (22" BBL),162,ELD-X,3.000",RL-22,41.5,2100,48.0,2500
284 Win (24" BBL),162,ELD-X,2.905",RL-19,42.5,2200,53.3,2700
7x65mm R (24" BBL),162,ELD-X,3.340",RL-19,49.1,2500,54.2,2800
7x64 Brenneke (22" BBL),162,ELD-X,3.270",H4831,51.5,2300,57.6,2650
280 Rem (22" BBL),162,ELD-X,3.330",H4831,43.8,2300,53.8,2700
280 AI (24" BBL),162,ELD-X,3.330",RL-26,52.2,2500,60.6,2950
7mm RSAUM (24" BBL),162,ELD-X,2.770",H4831,53.5,2600,58.9,2800
7mm Rem Mag (24" BBL),162,ELD-X,3.235",RL-26,58.3,2600,67.7,3000
7mm WSM (24" BBL),162,ELD-X,2.855",RL-26,52.2,2500,67.2,3100
7mm Wby Mag (26" BBL),175,InterLock,3.350",RL-22,58.9,2600,71.8,3100
28 Nosler (26" BBL),175,ELD-X,3.560",RL-33,78.7,2800,85.8,3050
7mm STW (26" BBL),175,InterLock,3.650",RL-33,78.1,2700,87.3,3100
7mm Rem Ultra Mag (26" BBL),175,InterLock,3.605",RL-25,77.7,2700,88.6,3100
30 M1 Carbine (17.5" BBL),110,FMJ-RN,1.680",H110,13.1,1800,14.9,2000
300 Blackout (16" BBL),135,FTX,2.040",H110,15.5,1850,17.3,2050
300 Blackout SUB (16" BBL),190,Sub-X,2.070",CFE BLK,11.7,1000,13.2,1200
30-30 Win (20" BBL),160,FTX,2.535",LEVERevoloution,27.7,1900,37.0,2300
7.5x54mm MAS (22.5" BBL),150,InterLock,2.940",IMR 4064,38.1,2200,44.4,2600
300 Savage (22" BBL),150,SST,2.600",IMR 4064,35.4,2200,42.8,2600
307 Win (20" BBL),150,RN,2.530",IMR 4064,38.3,2300,41.1,2500
30 Rem AR (22" BBL),150,BTHP,2.260",TAC,33.2,2200,38.1,2600
30 Marlin Express (22" BBL),160,FTX,2.590",LEVERevoloution,37.9,2200,42.6,2600
7.5x55 Schmidt Rubin,165,InterLock,2.910",H4895,34.5,2200,45.5,2700
308 Win (22" BBL),168,ELD-Match,2.800",Varget,32.6,2100,44.0,2600
7.62x54R (26.5" BBL),180,InterLock,2.850",IMR 4064,35.9,2100,44.6,2500
30-40 Krag (30" BBL),180,InterLock,3.025",H4895,31.8,1900,35.1,2100
30 TC (26" BBL),165,InterLock,2.645",Varget,38.0,2400,44.0,2700
30-06 Springfield (23.75" BBL),180,InterLock,3.225",H4350,46.5,2300,55.3,2650
M1 Garand (24" BBL),168,BTHP,3.240",H4895,39.8,2300,46.4,2600
300 H&H Mag (26" BBL),180,InterLock,3.545",RL-22,58.0,2500,67.2,2850
300 RSAUM (24" BBL),178,ELD-X,2.755",H4350,50.1,2400,62.6,2900
308 Norma Mag (24" BBL),180,InterLock,3.345",RL-19,63.8,2600,72.4,3000
300 RCM (20" BBL),178,ELD-X,2.840",H4350,49.7,2300,57.8,2600
300 WSM (24" BBL),200,ELD-X,2.855",RL-17,53.4,2500,62.8,2950
300 Win Mag (25" BBL),200,ELD-X,3.340",RL-22,60.1,2500,73.2,2900
300 Wby Mag (26" BBL),180,InterLock,3.546",RL-22,72.5,2700,81.4,3100
300 PRC (24" BBL),225,ELD-Match,3.680",RL-26,66.6,2500,75.7,2850
300 Norma (24" BBL),225,ELD-Match,3.650",RL-33,81.7,2600,91.3,2900
300 Rem Ultra Mag (26" BBL),220,ELD-X,3.600",RL-26,76.3,2600,87.7,2950
30-378 Wby Mag (26" BBL),220,ELD-X,3.645",RL-33,100.4,2800,108.8,3100
32-20 Win WCF (18.5" BBL),100,XTP,1.550",H110,11.0,1800,15.4,2200
7.62x39 (20" BBL),123,SST,2.190",H4198,17.2,1900,25.7,2400
7.65x53 Belgian (29" BBL),174,FMJ-BT,2.870",H4895,36.5,2200,43.9,2600
